Constituency Name,YSRCP Expected,YSRCP Actual,TDP & JNP & BJP Expected,TDP & JNP & BJP Actual,Congress & CPI Expected,Congress & CPI Actual,NOTA Expected,NOTA Actual,Others Expected,Others Actual,Winning Candidate,Expected Winner (SGED),Actual Winner 2024,SGED Winning Margin,Win Margin Â±5000 Votes Party By SGED,Actual Margin 2024,Vote %,Total Votes,Difference After Actullality
Ichchapuram,72191,70829,104974,110612,3058,792,4247,4374,2548,2208,Bendalam Ashok,TDP,TDP,32783,37783,39783,70.00%,188815,-2000
Palasa,68346,61210,90029,101560,2357,1064,3111,2762,1414,1439,Gouthu Sireesha,TDP,TDP,21682,26682,40350,75.00%,168035,-13668
Tekkali,81144,73488,98408,107923,2849,2684,3108,7312,1381,2306,Kinjarapu Atchannaidu,TDP,TDP,17265,22265,34435,79.00%,193713,-12170
Pathapatnam,68066,62925,83192,89452,3025,3565,4387,3604,1437,3789,Mamidi Govinda Rao,TDP,TDP,15126,20126,26527,71.00%,163335,-6401
Srikakulam,80286,64570,99879,117091,2103,4353,3250,3373,1147,2781,Gondu Shankar,TDP,TDP,19593,24593,52521,68.00%,192168,-27928
Amadalavalasa,65742,52971,83028,88003,2178,3481,2722,2300,681,11952,Kuna Ravi Kumar,TDP,TDP,17286,22286,35032,80.00%,158707,-12746
Etcherla,89598,83681,105598,112770,2240,2452,4480,3952,1920,3707,Nadikuditi Eswara Rao,BJP,BJP,16000,21000,29089,83.00%,206562,-8089
Narasannapeta,73879,70580,89710,99951,5277,2225,3694,3300,1266,1320,Baggu Ramana Murthy,TDP,TDP,15831,20831,29371,81.00%,177376,-8540
Rajam (SC),75485,73663,90276,94385,2550,3684,3570,2536,1020,2226,Kondru Murali Mohan,TDP,TDP,14791,19791,20722,76.00%,176494,-931
Palakonda (ST),65503,61917,72165,75208,1110,2041,3664,4260,4330,4949,Nimmaka Jaya Krishna,JNP,JNP,6661,11661,13291,75.00%,148375,-1630
Kurupam,73189,59855,63111,83355,2480,3923,4479,4761,9199,3397,-,YSRCP,TDP,10078,10078,NaN,79.00%,155291,-
Parvathipuram,66495,59491,72540,83905,2418,1640,3485,3465,3556,3132,Bonela Vijay Chandra,TDP,TDP,6045,11045,24414,78.00%,151633,-13369
Salur,65839,66478,81340,80211,2214,2239,4798,5743,2141,3684,Gummidi Sandhya Rani,TDP,TDP,15500,15500,13733,76.00%,158355,1767
Bobbili,81301,67718,98722,112366,2323,4782,3136,2561,290,1597,R. V. S. C. K. Krishna Ranga Rao,TDP,TDP,17422,22422,44648,80.00%,189024,-22226
Cheepurupalli,79132,76254,82961,88225,4893,4087,3361,2855,1191,1634,Kimidi Kala Venkat Rao,TDP,TDP,3828,8829,11971,83.00%,173055,-3142
Gajapathinagaram,71728,72750,97216,98051,2219,1315,4544,3729,1902,2468,Kondapalli Srinivas,TDP,TDP,25487,30487,25301,86.00%,178313,5186
Nellimarla,84003,70086,96786,109915,1826,1667,4748,3305,1095,5341,Lokam Naga Madhavi,JNP,JNP,12783,17783,39829,88.00%,190314,-22046
Vizianagaram,79219,60632,100824,121241,1852,1527,1852,1365,1028,4042,Puspati Aditi Vijayalakshmi Gajapathi Raju,TDP,TDP,21605,26605,60609,72.00%,188807,-34004
Srungavarapukota,78621,72236,103779,111026,1887,1918,3774,1969,2044,3105,Kolla Lalitha Kumari,TDP,TDP,25158,30159,38790,85.00%,190254,-8631
Bhimli,123889,83829,142473,176230,2551,5147,4281,3061,2550,9968,Ganta Srinivasa Rao,TDP,TDP,18583,23583,92401,76.00%,278235,-68818
Visakhapatnam East,72563,61170,121868,132047,2605,3430,1861,1508,1674,5339,Velagapudi Ramakrishna Babu,TDP,TDP,49305,54305,70877,69.00%,203494,-16572
Visakhapatnam South,48674,33274,83815,97868,2256,3940,1543,631,1187,3615,Vamsi Krishna Srinivasa Yadav,JNP,JNP,35140,40141,64594,63.00%,139328,-24453
Visakhapatnam North,98398,61267,80091,108801,3051,4252,1526,1130,1639,12758,-,YSRCP,BJP,18306,18306,NaN,65.00%,188208,-
Visakhapatnam West,46658,55621,91229,90805,2578,999,1473,1002,6998,2581,P. G. V. R. Naidu,TDP,TDP,44570,39571,35184,70.00%,151008,4387
Gajuwaka,91495,62468,135131,157703,2534,3970,1830,1518,1970,8670,Palla Srinivas Rao Yadav,TDP,TDP,43636,48636,95235,70.00%,234329,-46599
Chodavaram,76455,67462,98811,109651,2100,2527,4817,3849,1852,2252,Kalidindi Suryana Naga Sanyasi Raju,TDP,TDP,22355,27356,42189,85.00%,185741,-14833
V.Madugula,90674,63843,62534,91869,2814,1784,4690,4070,1876,3655,-,YSRCP,TDP,28140,28140,NaN,86.00%,165221,-
Araku valley,82209,65658,65116,33781,2849,12503,9767,3593,14651,63317,Regam Mathsyalingam,YSRCP,YSRCP,17092,22093,31877,71.00%,178852,-9784
Paderu,77734,68170,56772,48832,4585,13566,7424,1420,12227,29172,-,YSRCP,YSRCP,20962,20962,19338,64.00%,161160,NaN
Anakapalli,70463,49362,92585,115126,2458,1895,2786,1853,2294,4542,Konathala Ramakrishna,JNP,JNP,22122,27122,65764,80.00%,172778,-38642
Pendurthi,98881,67741,121953,149611,2197,4224,3845,2834,2060,5734,Panchakarla Ramesh Babu,JNP,JNP,23072,28072,81870,74.00%,230144,-53798
ELAMANCHILI,73761,60487,95077,109443,3527,1822,2863,2409,2146,5266,Sundarapu Vijay Kumar,JNP,JNP,21315,26316,48956,86.00%,179427,-22640
PAYAKARAOPETA,86934,76315,109820,120042,2196,2087,5491,4107,2196,4935,Vangalapudi Anitha,TDP,TDP,22886,27887,43727,82.00%,207486,-15840
Narsipatnam,75359,75173,94576,99849,2010,1088,5778,3824,2135,2932,Chintakayala Ayyanna Patrudu,TDP,TDP,19216,24217,24676,85.00%,182866,-459
Tuni,84974,82029,95134,97206,2309,1923,2679,3434,2124,4853,Yanamala Divya,TDP,TDP,10159,15160,15177,83.00%,189445,-17
Prathipadu,74733,64234,92986,103002,3632,1354,2007,2582,1433,5313,Varupula Satyaprabha,TDP,TDP,18253,23253,38768,80.00%,176485,-15515
Pithapuram,72972,64115,125460,134394,2144,1231,2560,2027,1664,5402,Pawan Kalyan,JNP,JNP,52488,57488,70279,87.00%,207169,-12791
Kakinada Rural,79214,62374,116021,134414,2800,2205,1700,1783,2100,5663,Pantham Venkateswara Rao,JNP,JNP,36806,41807,72040,75.00%,206439,-30233
Peddapuram,70473,65234,99973,105685,2622,2168,2294,2020,1638,3742,Nimmakayala Chinarajappa,TDP,TDP,29500,34500,40451,82.00%,178849,-5951
Anaparthy,101369,84870,87419,105720,1488,1300,2232,3105,2417,1759,Sathi Suryanarayana Reddy,YSRCP,BJP,13949,13949,NaN,86.00%,196754,-
Kakinada City,62911,56442,104851,113014,3595,2138,1797,1446,1198,4144,Vanamadi Venkateswara Rao,TDP,TDP,41940,46941,56572,72.00%,177184,-9631
Ramachandrapuram,76756,71361,91862,97652,2246,1173,1429,1608,1633,3594,-,TDP,TDP,15106,20106,26291,86.00%,175388,-6185
Mummidivaram,82407,79951,116507,118687,1989,1312,2273,1865,1989,5506,Datla Subba Raju,TDP,TDP,34099,39100,38736,84.00%,207321,364
Amalapuram,69984,65394,100552,104022,1448,1357,2252,2133,1608,4730,Aithabathula Anandarao,TDP,TDP,30567,35568,38628,82.00%,177636,-3060
Razole,55659,56503,95448,95514,2300,1435,1495,1628,1494,3760,Deva Vara Prasad,JNP,JNP,39789,39789,39011,79.00%,158840,NaN
Gannavaram,64298,62741,93701,96108,2262,1583,2585,1751,2907,6019,Giddi Satyanarayana,JNP,JNP,29403,29403,33367,83.00%,168202,NaN
Kothapeta,86409,77807,121420,134286,2086,1169,2086,1575,2979,2792,Bandaru Satyananda Rao,TDP,TDP,35010,40011,56479,85.00%,217629,-16468
Mandapeta,76843,71874,110190,116309,1160,1484,1740,1568,2029,2811,V. Jogeswara Rao,TDP,TDP,33346,38347,44435,87.00%,194046,-6088
Rajanagaram,94881,71946,89402,105995,1470,1901,2539,2975,1202,8121,Jakkampudi Raja,YSRCP,JNP,5479,5479,NaN,88.00%,190938,-
Rajahmundry City,64769,51887,110594,123291,2560,1918,1536,1569,1280,3486,Adireddy Vasu,TDP,TDP,45824,50825,71404,68.00%,182151,-20579
Rajamundry Rural,75372,64970,117401,129060,2802,2728,1681,2699,1961,2601,Gorantla Butchaiah Chowdary,TDP,TDP,42029,47029,64090,73.00%,202058,-17061
Jaggampeta,84182,60917,102018,113593,946,1457,2973,1928,2161,16084,Jyothula Nehru,TDP,TDP,17836,22836,56676,84.00%,193979,-33840
Rampachodavaram,98139,80948,90057,90087,4811,21265,4426,7269,10583,10939,-,YSRCP,TDP,8082,8082,NaN,75.00%,210508,-
Kovvur,66381,58797,86288,92743,1699,1897,2106,2465,1698,3209,Muppidi Venkateswara Rao,TDP,TDP,19907,24907,33946,86.00%,159111,-9039
Nidadavole,77695,69395,98359,102699,1984,1495,1653,2144,991,6770,Kandula Durgesh,JNP,JNP,20663,25664,33304,85.00%,182503,-7640
Achanta,64382,58848,80478,85402,1700,1872,1474,1673,1020,2746,Pithani Satyanarayana,TDP,TDP,16095,21096,26544,83.00%,150541,-5448
Palakollu,51646,45169,103086,113114,2058,1945,1235,919,2469,2066,Nimmala Rama Naidu,TDP,TDP,51440,56440,67945,82.00%,163213,-11505
Narasapuram,52360,44378,86493,94116,1988,1915,1326,1216,1656,3793,Bommidi Nayakar,JNP,JNP,34133,39133,49738,84.00%,145418,-10605
Bhimavaram,72231,63450,122907,130424,1856,3252,1570,1210,2283,5647,Pulaparthi Ramanjaneyulu,JNP,JNP,50675,55676,66974,79.00%,203983,-11298
Undi,61692,60125,99589,116902,1939,1157,1851,1607,28642,15681,Raghu Rama Krishna Raju,TDP,TDP,37896,42897,56777,86.00%,195472,-13880
TANUKU,75529,57426,111214,129547,1732,2422,1940,1722,2217,3651,Arimilli Radha Krishna,TDP,TDP,35685,40686,72121,82.00%,194768,-31435
Tadepalligudem,71574,53951,99361,116443,1684,1901,1852,1534,1515,4220,Bolisetti Srinivas,JNP,JNP,27787,32787,62492,82.00%,178049,-29705
Unguturu,74002,63949,100756,108894,2592,3130,2476,2105,1322,4545,Patsmatla Dharmaraju,JNP,JNP,26754,26754,44945,88.00%,182623,NaN
Denduluru,98251,81021,88949,107287,1395,1607,2674,1920,1627,2831,Kotaru Abbaya Chowdary,YSRCP,TDP,9302,9302,NaN,86.00%,194666,-
Eluru,66596,49174,94600,111562,1444,604,1732,1256,769,3679,Badeti Radha Krishna,TDP,TDP,28004,33005,62388,70.00%,166275,-29383
Gopalapuram,89952,87636,108371,114420,2227,2387,3855,4500,5996,2716,Maddipati Venkata Raju,TDP,TDP,18418,23419,26784,87.00%,211659,-3365
Polavaram,102895,93518,95772,101453,6649,3568,6015,5611,6965,14849,Tellam Rajyalakshmi,YSRCP,JNP,7124,7124,NaN,86.00%,218999,-
Chintalapudi,104053,92360,109776,120126,3902,4958,3642,4121,1560,3826,Songa Roshan,TDP,TDP,5722,10723,27766,82.00%,225391,-17043
Tiruvuru,94128,78845,79490,100719,2133,1329,1745,1184,4168,1343,Nallagatla Swamy Das,YSRCP,TDP,14638,14638,NaN,88.00%,183420,-
Nuzvid,106233,95851,97998,108229,2141,2405,2306,2771,1482,2461,Kolusu Parthasarathy,YSRCP,TDP,8235,8235,NaN,88.00%,211717,-
Gannavaram,104498,97924,120670,135552,2986,1219,1742,1731,6966,3099,Yarlagadda Venkata Rao,TDP,TDP,16172,21172,37628,85.00%,239525,-16456
Gudivada,76711,56940,84930,109980,1973,1333,3288,999,1643,2352,Venigandla Ramu,TDP,TDP,8218,13219,53040,83.00%,171604,-39821
Kaikalur,72137,64007,102475,109280,1807,2480,1620,1598,1495,3626,Kamineni Srinivas,BJP,BJP,30337,35338,45273,87.00%,180991,-9935
Pedana,59866,53271,83534,91394,1949,1354,1392,1349,1670,2593,Kagitha Krishna Prasad,TDP,TDP,23667,28668,38123,89.00%,149961,-9455
Machilipatnam,66266,54802,89828,105044,1767,1443,1473,1027,1767,2523,Kollu Ravindra,TDP,TDP,23561,28561,50242,82.00%,164839,-21681
Avanigadda,75388,67026,94235,113460,2399,1068,1713,1952,9252,2936,Mandali Buddha Prasad,JNP,JNP,18846,23847,46434,86.00%,186442,-22587
Pamarru,72063,64499,79365,94189,2381,2233,1905,1733,6984,2215,Varla Kumar Raja,TDP,TDP,7301,12302,29690,88.00%,164869,-17388
Penamaluru,107699,84997,119665,144912,2393,2596,1596,1510,1994,2524,Bode Prasad,TDP,TDP,11966,16967,59915,79.00%,236539,-42948
Vijaywada West,69192,58637,86786,105669,2372,3723,890,1236,10872,2578,Y. S. Chowdary,BJP,BJP,17594,22594,47032,66.00%,171843,-24438
Vijayawada central,89689,69201,101417,118841,2070,2244,1173,1049,8278,4571,Bonda Umamaheswara Rao,TDP,TDP,11728,1672,68886,73.00%,195906,-67214
Vijayawada East,81481,61148,107407,130034,2222,4887,1037,951,888,7697,Gadde Ramamohan,TDP,TDP,25925,30926,49640,71.00%,204717,-18714
Mylavaram,112638,94509,123653,137338,2360,4652,918,1598,917,4500,Vasantha Venkata Krishna Prasad,TDP,TDP,11014,16015,42829,85.00%,242597,-26814
Nandigama,80575,74806,93467,102201,1896,1486,948,928,3033,2570,Tangirala Sowmya,TDP,TDP,12891,17892,27395,88.00%,181991,-9503
Jaggayyapeta,85338,82502,95243,98479,1524,2527,952,773,1523,1606,Sreeram Rajagopal Tataiah,TDP,TDP,9905,14905,15977,90.00%,185887,-1072
Pedakurapadu,106242,91868,95641,112957,2591,1290,1413,1184,1413,1999,Namburu Sankar Rao,YSRCP,TDP,10601,10601,NaN,89.00%,209298,-
